"","O3","CO","NO","NO2","PM10","SO2"
"442",0,0,0,0,0.864841910983356,0
"443",0,0,0,0,0.185212344598817,0
"444",0,0,0,0,0.79935260313022,0
"445",0,0,0,0,0.911350293627483,0
"446",0,0,0,0,0,0
"447",0,0,0,0,0.252319703069303,0
"448",0,0,0,0,0.512964391910965,0
"449",0,0,0,0,0.407717441635149,0
"450",0,0,0,0,0,0
"451",0,0,0,0,0,0
"452",0,0,0,0,0,0
"453",0,0,0,0,0,0
"454",0,0,0,0,0,0
"455",0,0,0,0,0,0
"456",0,0,0,0,0,0
"457",0,1.82226899005099,0,0,0,0.0608617663272946
"458",0,1.64477588696999,0,0,0,0
"459",0,0.880951731369116,0,0,0,0.557544166107335
"460",0,1.66251429838903,0,0,0,0.527910856570627
"461",0,1.95002534784815,0,0,0,0.393009911875538
"462",0,1.29157293002737,0,0,0,0.487549698489521
"463",0,2.18770167905594,0.829300253551406,0,0,0.888110701777481
"464",0,3.15859693298187,4.88926808221836,0,0.119597168903071,6.81273404649214
"465",0,5.86691213737306,6.55163832063254,0,0.743918963786343,7.10688284250106
"466",0,7.53272062077837,9.21280198987321,0.28356342543801,2.29360612610655,8.99686821440426
"467",0,6.08304606522512,7.39196638059792,0.605844057153257,2.2412412771192,4.1920874538522
"468",0,6.88731087348161,7.52261380845478,1.47517991629745,1.60505175654419,2.56086592989427
"469",0,5.49246620171574,3.89324181241599,0.637160652249128,0.75890577685547,0.276034876272709
"470",0,5.03836458571345,2.55379161340759,0.494242454223041,0.629112162680975,0.236614680682892
"471",0,4.09809455281925,0.790378667761758,0.257402013984364,0.101844822702391,0.345569989464553
"472",0,1.80128080176043,0,0,0,0.447859920214322
"473",0,1.29774166511386,0,0,0,0
"474",0,1.87353933561895,0,0,0,0
"475",0,2.10622576463907,0,0,0,0
"476",0,1.1716540857247,0,0,0,0
"477",0,0.439419998832939,0,0,0,0
"478",0,0.543880952754242,0,0,0,0
"479",0,0.297523066156258,0,0,0,0
"480",0,0.077156024776498,0,0,0,0
"481",0,0,0,0,0,0
"482",0,0,0,0,0,0
"483",0,0,0,0,0,0
"484",0,0,0,0,0,0
"485",0.181358932416988,0,0,0,0,0
"486",0.292553265223133,0,0,0,0,0
"487",0,0,0,0,0,0
"488",0,0,0,0,0,0
"489",0,0,0,0,0,0
"490",0,0,0,0,0.694070916284154,0
"491",0,0,0,0,0,0
"492",0,0,0,0,0.932970896538058,0
"493",0,0,0,0,2.2043952270018,0
"494",0,0,0,0,0,0
"495",0,0,0,0,1.74726070881598,0
"496",0,0,0,0,1.00903185423978,0
"497",0,0,0,0,0,0
"498",0,0,0,0,0,0
"499",0,0,0,0,0,0
"500",0.0687582293319191,0,0,0,0,0
"501",0.473866175474947,0,0,0,0,0
"502",0.592298995279575,0,0,0,0,0
"503",0.442032738503967,0,0,0,0,0
"504",0.426185281630592,0,0,0,0,0
"505",0,0,0,0,0,0
"506",0,0,0,0,0,0
"507",0,0,0,0,0,0
"508",0,0,0,0,0,0
"509",0,0,0,0,0,0
"510",0,0,0,0,0,0
"511",0,0,0,0,0,0
"512",0,0,0,0,0,0
"513",0,0,0,0,0,0
"514",0,0,0,0,0,0
"515",0,0,0,0,0,0
"516",0,0,0,0,0,0.216575826915182
"517",0,0,0,0,0,0
"518",0,0,0,0,0,0
"519",0,0,0,0,0,0
"520",0,0,0,0,0,0.0554131261748423
"521",0,0,0,0,0,1.13576075084423
"522",0,0,0,0,0,1.35261009058345
"523",0,0,0,0,0,0
"524",0,0,0,0,0,0
"525",0,0,0,0,0,0.0809590375215934
"526",0,0,0,0,0,0
"527",0,0,0,0,0,0
"528",0,0,0,0,0,0
"529",0,0,0,0,0,0
"530",0,0,0,0,0,0
"531",0,0,0,0,0,0
"532",0,0,0,0,0,0
"533",0.467810107027477,0,0,0,0,0
"534",0.863564988855945,0,0,0,0,0
"535",0.549060994598265,0,0,0,0,0
"536",0,0,0,0,0,0
"537",0,0,0,0,0,0
"538",0,0,0,0,0,0
"539",0,0,0,0,0,0
"540",0,0,0,0,0,0
"541",0,0,0,0,0,0
"542",0,0,0,0,0,0
"543",0,0,0,0,0,0
"544",0,0,0,0,0,0
"545",0,0,0,0,0,0
"546",0,0,0,0,0,0
"547",0,0,0,0,0,0
"548",0,0,0,0,0,0
"549",0,0,0,0,0,0
"550",0.504203981539144,0,0,0,0,0
"551",0.126375834211347,0,0,0,0,0
"552",0.125095496444793,0,0,0,0,0
"553",0,0,0,0,0,0
"554",0,0,0,0,0,0
"555",0,0,0,0,0,0
"556",0,0,0,0,0,0
"557",0,0,0,0,0,0
"558",0,0,0,0,0,0
"559",0,0,0,0,0,0
"560",0,0,0,0,0,0
"561",0,0,0,0,0,0
"562",0,0,0,0.0886313225132844,0,0
"563",0,0,0,0,0,0
"564",0,0,0,0,0,0
"565",0,0,0,0,0,0
"566",0,0,0,0,0,0
"567",0,0,0,0.00958701641182391,0,0
"568",0,0,0,0.0429723895634964,0,0
"569",0,0,0,0,0,0
"570",0,2.32281632976341,0,0,0,0
"571",0,0.27639234884683,0.294133730944599,0,0,0
"572",0,1.2772701301893,1.21953960383784,0,0,0.350242120580702
"573",0,0,0,0,0,0
"574",0,0,0,0,0,0
"575",0,0,0,0,0,0
"576",0,0,0,0,0,0
"577",0,0,0,0,0,1.22125051861974
"578",0,0,0,0,0,4.20251347639431
"579",0,0,0,0,0,6.07845237316811
"580",0,0,0,0,0,6.09130850030242
"581",0,0,0,0,0,5.02298188850718
"582",0,0,0,0,0,4.66112598556646
"583",0,0,0,0,0,2.94432523360506
"584",0,0,0,0,0,1.86090267390792
"585",0,0,0,0,0.312253413726333,4.80514633259699
"586",0,0.203257238121244,0.428659578786793,0.213667599497807,0.845985928010629,7.06696759522648
"587",0,0,0.827100986680754,0.492411447259915,1.4284414432024,9.34620220455398
"588",0,0.00476312783597477,1.84429529855316,0.933502537256091,2.04695425033529,9.10500203739394
"589",0,0.922187327619268,2.65336722556602,1.36610882931526,2.443258503978,8.17156589049233
"590",0,0.348130291555063,1.96766727426561,1.32421154536605,2.0608689849644,5.65654574109552
"591",0,0.628257404983857,1.84080564995987,0.975844502418548,2.79581983391483,4.61249299911077
"592",0,0.608640406651391,0.935346793281311,0.622510689734983,2.54186899111246,1.69441757952994
"593",0,0.450586324458628,0.842445723217821,0.401327389460821,1.64630008618379,0.831607319612154
"594",0,0.357510987291732,0.47326733460847,0.498590897916521,1.2067817106675,0.452890934256593
"595",0,1.46668367118365,1.54852818113667,0.240104481487241,1.14223520957297,0.363600206443476
"596",0,0.912090077550405,0.144566747692555,0.271686808090257,0.888898239353628,0
"597",0,0.643562696692467,0.385717905684939,0.671442682536075,0.751584276308243,0
"598",0,0,0,0,0.526121881631099,0
"599",0,0,0,0,0,0
"600",0,0,0,0,0.239272211874308,0
"601",0,0,0,0,0,0
"602",0,0,0,0,0,0
"603",0,0,0,0,0,0
"604",0,0,0,0,0,0
"605",0,0,0,0,0,0
"606",0,0,0,0,0,0
"607",0,0,0,0,0,0
"608",0,0,0,0,0,0
"609",0,0,0,0,0,0
"610",0,0,0.260077814176317,0.0932727257622099,0,0
"611",0,0,0.443208713370491,0,0,0
"612",0,0,0.116256113548548,0,0,0
"613",0,0,0,0,0,0
"614",0,0,0,0,0,0
"615",0,0,0,0,0,0
"616",0,0,0,0,0,0
"617",0,0,0,0,0,0
"618",0,0,0,0,0,0
"619",0,0,0,0,0,0
"620",0,0,0,0,0,0.0446118884841276
"621",0,0,0,0,0,0.16004272658807
"622",0,0,0,0,0,0
"623",0,0,0,0,0,0
"624",0,0,0,0,0,0
"625",0,0,0,0,0,0
"626",0,0,0,0,0,0
"627",0,0,0,0,0,0
"628",0.0371106141953399,0,0,0,0,0
"629",0,0,0,0,0,0
"630",0,0,0,0,0,0
"631",0,0,0,0,0,0
"632",0,0,0,0,0,0
"633",0,0,0,0,0,0
"634",0,0,0,0,0,0
"635",0,0,0,0,0,0
"636",0,0,0,0,0,0
"637",0,0,0,0,0,0
"638",0,0,0,0,0,0
"639",0,0,0,0,0,0
"640",0,0,0,0,0,0
"641",0,0,0,0,0,0
"642",0,0,0,0,0,0
"643",0,0,0,0,0,0
"644",0,0,0,0,0,0
"645",0,0,0,0,0,0
"646",0,0,0,0,0,0
"647",0,0,0,0,0,0
"648",0,0,0,0,0,0
"649",0,0,0,0,0,0
"650",0,0,0,0,0,0
"651",0,0,0,0,0,0.852295219572547
"652",0,0,0,0,0,0
"653",0,0,0,0,0,0
"654",0,0,0,0,0,0
"655",0,0,0,0,0,0
"656",0,0,0,0,0,0
"657",0,0,0,0,0,0
"658",0,0,0,0,0,0
"659",0,0,0,0,0,0
"660",0,0,0,0,0,0
"661",0,0,0,0,0,0
"662",0,0,0,0,0,0
"663",0,0,0,0,0,0
"664",0,0,0,0,0,0
"665",0,0,0,0,0,0
"666",0,0,0,0,0,0
"667",0,0,0,0,0,0
"668",0,0,0,0,0,0
"669",0,0,0,0,0,0
"670",0,0,0,0,0,0
"671",0,0,0,0,0,0
"672",0,0,0,0,0,0
"673",0,0,0,0,0,0
"674",0,0,0,0.130402586693602,0,0
"675",0,0,0,0,0,0
"676",0,0,0,0,0,0
"677",0,0,0,0,0,0
"678",0,0,0,0,0,0
"679",0,0,0,0,0,0
"680",0,0,0,0.16217141318994,0,0
"681",0,0,0,0.518288217094809,0,0
"682",0,0,0,0,0,0
"683",0,0,0,0,0,0
"684",0,0,0,0,0,0
"685",0,0,0,0,0,0
"686",0,0,0,0,0,0
"687",0,0,0,0,0,0
"688",0,0,0,0.154079647044152,0,0
"689",0,0,0,0.313359421375555,0,0
"690",0,0,0,0.0377184580466814,0,0
"691",0,0,0,0,0,0
"692",0,0,0,0,0,0
"693",0,0,0,0,0,0
"694",0,0,0,0,0,0
"695",0,0,0,0,0,0
"696",0,0,0,0,0,0
"697",0,0,0,0,0,0
"698",0,0,0,0,0,0
"699",0,0,0,0,0,0
"700",0,0,0,0,0,0
"701",0,0,0,0,0,0
"702",0,0,0,0,0,0
"703",0,0,0,0,0,0
"704",0,0,0,0,0,0
"705",0,0,0,0,0,0
"706",0,0,0,0,0,0
"707",0,0,0,0,0,0
"708",0,0,0,0,0,0
"709",0,0,0,0,0,0
"710",0,0,0,0,0,0
"711",0,0,0,0,0,0
"712",0,0,0,0,0,0
"713",0,0,0,0,0,0
"714",0,0,0,0,0,0
"715",0,0,0,0,0,1.32974734817592
"716",0,0,0,0,0,0.551449127107678
"717",0,0,0,0,0,0
"718",0,0,0,0,0,0
"719",0,0,0,0,0,0
"720",0,0,0,0,0,0
"721",0,0,0,0,0,0
"722",0,0,0,0,0,0
"723",0,0,0,0,0,0
"724",0,0,0,0,0,0
"725",0,0,0,0,0,0
"726",0,0,0,0,0,0
"727",0,0,0,0,0,0
"728",0,0,0,0,0,0
"729",0,0,0,0,0,0
"730",0,0,0,0,0,0
"731",0,0,0,0,0,0
"732",0,0,0,0,0,0
"733",0,0,0,0,0,0
"734",0,0,0,0,0,0
"735",0,0,0,0,0,0
"736",0,0,0,0,0,0
"737",0,0,0,0,0,0
"738",0,0,0,0,0,0
"739",0,0,0,0,0,0
"740",0,0,0,0,0,0
"741",0,0,0,0,0,0
"742",0,0,0,0,0,0
"743",0,0,0,0,0,0
"744",0,0,0,0,0,0
"745",0,0,0,0,0,0
"746",0,0,0,0,0,0
"747",0,0,0,0,0,0
"748",0,0,0,0,0,0
"749",0,0,0,0,0,0
"750",0,0,0,0,0,0
"751",0,0,0,0,0,0
"752",0,0,0,0,0,0
"753",0,0,0,0.199154812366606,0,0
"754",0,0,0,0,0,0
"755",0,0,0,0.0360214591014085,0,0
"756",0,0,0,0.481677934808669,0,0
"757",0,0,0,0,0,0
"758",0,0,0,0,0,0
"759",0,0,0,0,0,0
"760",0,0,0,0,0,0
"761",0,0,0,0.182293030022876,0,0
"762",0,0,0,0.0487765700407885,0,0
"763",0,0,0,0,0,0
"764",0,0,0,0,0,0
"765",0,0,0,0,0,0
"766",0,0,0,0.216094393577162,0,0
"767",0,0,0,0.182432740167698,0,0
"768",0,0,0,0,0,0
"769",0,0,0,0,0,0
"770",0,0,0,0,0,0
"771",0,0,0,0,0,0
"772",0.240513731142484,0,0,0,0,0
"773",0.0250113183056639,0,0,0,0,0
"774",0.174212262205997,0,0,0,0,0
"775",0.377840612547602,0,0,0,0,0
"776",0,0,0,0,0,0
"777",0,0,0,0,0,0
"778",0,0,0,0,0,0
"779",0,0,0,0,0,0
"780",0,0,0,0,0,0
"781",0,0,0,0,0,0
"782",0,0,0,0,0,0
"783",0,0,0,0,0,0
"784",0,0,0,0,0,0
"785",0,0,0,0,0,0
"786",0,0,0,0,0,0
"787",0,0,0,0,0,0
"788",0,0,0,0,0,0
"789",0,0,0,0,0,0
"790",0,0,0,0,0,0
"791",0,0,0,0,0,0
"792",0,0,0,0,0,0
"793",0,0,0,0,0,0
"794",0,0,0,0,0,0
"795",0,0,0,0,0,0
"796",0,0,0,0,0,0
"797",0,0,0,0,0,0
"798",0,0,0,0,0,0
"799",0,0,0,0,0,0
"800",0,0,0,0,0,0
"801",0,0,0,0,0,0
"802",0,0,0,0,0,0
"803",0,0,0,0,0,0
"804",0,0,0,0,0,0
"805",0,0,0,0,0,0
"806",0,0,0,0,0,0
"807",0,0,0,0,0,0
"808",0,0,0,0,0,0
"809",0,0,0,0,0,0
"810",0,0,0,0,0,0
"811",0,0,0,0,0,0
